commune;column_6;column_2;column_3;column_4;column_5;commune_maj;province;province_maj
La Foa;2009;3323;431;196;3754;LA FOA;province Sud;PROVINCE SUD
Mont-Dore;2009;25683;500;341;26183;MONT-DORE;province Sud;PROVINCE SUD
Nouméa;2009;97579;1227;0;98806;NOUMEA;province Sud;PROVINCE SUD
Païta;2009;16358;845;307;17203;PAITA;province Sud;PROVINCE SUD
Ponérihouen;2009;2384;1576;1469;3960;PONERIHOUEN;province Nord;PROVINCE NORD
Pouébo;2009;2416;1408;1238;3824;POUEBO;province Nord;PROVINCE NORD
Pouembout;2009;2078;204;68;2282;POUEMBOUT;province Nord;PROVINCE NORD
Thio;2009;2629;511;440;3140;THIO;province Sud;PROVINCE SUD
Voh;2009;2408;630;513;3038;VOH;province Nord;PROVINCE NORD
Yaté;2009;1881;683;652;2564;YATE;province Sud;PROVINCE SUD
Kouaoua;2009;1345;388;358;1733;KOUAOUA;province Nord;PROVINCE NORD
Canala;2004;3512;1161;1132;4673;CANALA;province Nord;PROVINCE NORD
Dumbéa;2004;18601;135;0;18736;DUMBEA;province Sud;PROVINCE SUD
Farino;2004;459;1;0;460;FARINO;province Sud;PROVINCE SUD
Houailou;2004;4523;1523;1135;6046;HOUAILOU;province Nord;PROVINCE NORD
Ile des Pins;2004;1840;563;558;2403;ILE DES PINS;province Sud;PROVINCE SUD
La Foa;2004;2903;491;286;3394;LA FOA;province Sud;PROVINCE SUD
Lifou;2004;10320;8923;8798;19243;LIFOU;province des îles Loyauté;PROVINCE DES ÎLES LOYAUTÉ
Maré;2004;7401;3690;3665;11091;MARE;province des îles Loyauté;PROVINCE DES ÎLES LOYAUTÉ
Mont-Dore;2004;23914;512;168;24426;MONT-DORE;province Sud;PROVINCE SUD
Poindimié;2004;4808;1061;555;5869;POINDIMIE;province Nord;PROVINCE NORD
Ponérihouen;2004;2726;1086;990;3812;PONERIHOUEN;province Nord;PROVINCE NORD
Pouembout;2004;1470;204;60;1674;POUEMBOUT;province Nord;PROVINCE NORD
Canala;1996;3374;1064;1017;4438;CANALA;province Nord;PROVINCE NORD
Hienghène;1996;2208;694;684;2902;HIENGHENE;province Nord;PROVINCE NORD
Kaala-Gomen;1996;1787;296;219;2083;KAALA-GOMEN;province Nord;PROVINCE NORD
Koné;1996;4077;916;677;4993;KONE;province Nord;PROVINCE NORD
La Foa;1996;2502;470;206;2972;LA FOA;province Sud;PROVINCE SUD
Maré;1996;6896;3145;3134;10041;MARE;province des îles Loyauté;PROVINCE DES ÎLES LOYAUTÉ
Mont-Dore;1996;20568;607;176;21175;MONT-DORE;province Sud;PROVINCE SUD
Nouméa;1996;75529;1924;0;77453;NOUMEA;province Sud;PROVINCE SUD
Pouébo;1996;2352;851;719;3203;POUEBO;province Nord;PROVINCE NORD
Touho;1996;2233;806;474;3039;TOUHO;province Nord;PROVINCE NORD
Yaté;1996;1554;426;419;1980;YATE;province Sud;PROVINCE SUD
Farino;2014;612;24;0;636;FARINO;province Sud;PROVINCE SUD
La Foa;2014;3542;493;231;4035;LA FOA;province Sud;PROVINCE SUD
Ouégoa;2014;2360;838;774;3198;OUEGOA;province Nord;PROVINCE NORD
Poindimié;2014;4868;1490;1220;6358;POINDIMIE;province Nord;PROVINCE NORD
Pouébo;2014;2452;1584;1438;4036;POUEBO;province Nord;PROVINCE NORD
Thio;2014;2643;644;598;3287;THIO;province Sud;PROVINCE SUD
Touho;2014;2087;1025;828;3112;TOUHO;province Nord;PROVINCE NORD
Kouaoua;2014;1452;407;392;1859;KOUAOUA;province Nord;PROVINCE NORD
Boulouparis;2019;3315;385;354;3700;BOULOUPARIS;province Sud;PROVINCE SUD
La Foa;2019;3552;472;279;4024;LA FOA;province Sud;PROVINCE SUD
Lifou;2019;9195;13958;13687;23153;LIFOU;province des îles Loyauté;PROVINCE DES ÎLES LOYAUTÉ
Moindou;2019;681;161;153;842;MOINDOU;province Sud;PROVINCE SUD
Voh;2019;2856;754;666;3610;VOH;province Nord;PROVINCE NORD
Kouaoua;2019;1304;526;520;1830;KOUAOUA;province Nord;PROVINCE NORD
Bourail;2019;5531;878;553;6409;BOURAIL;province Sud;PROVINCE SUD
Dumbéa;2019;35873;377;0;36250;DUMBEA;province Sud;PROVINCE SUD
Hienghène;2019;2454;1524;1469;3978;HIENGHENE;province Nord;PROVINCE NORD
Ile des Pins;2019;2037;1010;971;3047;ILE DES PINS;province Sud;PROVINCE SUD
Kaala-Gomen;2019;1803;550;515;2353;KAALA-GOMEN;province Nord;PROVINCE NORD
Koumac;2019;3981;469;344;4450;KOUMAC;province Nord;PROVINCE NORD
Ouégoa;2019;2118;875;835;2993;OUEGOA;province Nord;PROVINCE NORD
Païta;2019;24563;888;438;25451;PAITA;province Sud;PROVINCE SUD
Poindimié;2019;5006;1646;1341;6652;POINDIMIE;province Nord;PROVINCE NORD
Ponérihouen;2019;2420;1971;1883;4391;PONERIHOUEN;province Nord;PROVINCE NORD
Pouébo;2019;2144;1672;1614;3816;POUEBO;province Nord;PROVINCE NORD
Poum;2019;1435;680;656;2115;POUM;province Nord;PROVINCE NORD
Thio;2019;2524;860;804;3384;THIO;province Sud;PROVINCE SUD
Touho;2019;2380;1123;953;3503;TOUHO;province Nord;PROVINCE NORD
Boulouparis;2014;3005;295;264;3300;BOULOUPARIS;province Sud;PROVINCE SUD
Bourail;2014;5444;1004;454;6448;BOURAIL;province Sud;PROVINCE SUD
Houailou;2014;4240;2033;1913;6273;HOUAILOU;province Nord;PROVINCE NORD
Ile des Pins;2014;1958;963;916;2921;ILE DES PINS;province Sud;PROVINCE SUD
Koné;2014;7340;991;835;8331;KONE;province Nord;PROVINCE NORD
Koumac;2014;4252;514;302;4766;KOUMAC;province Nord;PROVINCE NORD
Maré;2014;5648;6776;6593;12424;MARE;province des îles Loyauté;PROVINCE DES ÎLES LOYAUTÉ
